https://cloud.google.com/ 	https://cloud.google.com/?hl=ko 	https	https
<li class="devsite-nav-item"> 	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/training/"> 	None	<a>	None
Training 	None	training	None
</a> 	None	</a>	None
</li> 	None	</li>	None
<li class="devsite-nav-item"> 	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/certification/"> 	None	<a>	None
Certification 	None	certification	None
</a> 	</a> 	</a>	</a>
</li> 	</li> 	</li>	</li>
<li class="devsite-nav-item"> 	<li class="devsite-nav-item devsite-nav-item-heading"> 	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/"> 	<a href="https://cloud.google.com/blog/big-data/?nav=true&hl=ko" class="devsite-nav-responsive-tab devsite-nav-title gc-analytics-event " track-type="navMenu" track-metadata-eventDetail="globalMenu" track-metadata-position="nav" track-name="social" data-category="Site-Wide Custom Events" data-label="Responsive Tab: 소셜"> 	<a>	<a>
close 	None	close	None
</a> 	None	</a>	None
</li> 	None	</li>	None
<li class="devsite-nav-item devsite-nav-item-heading"> 	None	<li>	None
<span class="devsite-nav-title devsite-nav-title-no-path"> 	None	<span>	None
Get Help from an Expert 	소셜 	get	소셜
</span> 	None	</span>	None
</li> 	None	</li>	None
<li class="devsite-nav-item"> 	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/consulting/"> 	None	<a>	None
Consulting 	None	consulting	None
</a> 	</a> 	</a>	</a>
</li> 	</li> 	</li>	</li>
<li class="devsite-nav-item"> 	<li class="devsite-nav-item devsite-nav-item-heading"> 	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/tam/"> 	<a href="https://cloud.google.com/contact/?nav=true&hl=ko" class="devsite-nav-responsive-tab devsite-nav-title gc-analytics-event " track-type="navMenu" track-metadata-eventDetail="globalMenu" track-metadata-position="nav" track-name="contact" data-category="Site-Wide Custom Events" data-label="Responsive Tab: 연락처"> 	<a>	<a>
Technical Account Management 	연락처 	technical	연락처
</a> 	None	</a>	None
</li> 	None	</li>	None
<li class="devsite-nav-item"> 	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.withgoogle.com/partners/"> 	None	<a>	None
Find a Partner 	None	find	None
</a> 	None	</a>	None
</li> 	None	</li>	None
<li class="devsite-nav-item"> 	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/partners/become-a-partner/"> 	None	<a>	None
Become a Partner 	None	become	None
</a> 	</a> 	</a>	</a>
</li> 	</li> 	</li>	</li>
<li class="devsite-nav-item"> 	<li class="devsite-nav-item devsite-nav-item-heading"> 	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/start/"> 	<a href="//console.cloud.google.com/?hl=ko" class="devsite-nav-responsive-tab devsite-nav-title gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Responsive Tab: console" track-type="navMenu" track-metadata-eventDetail="globalMenu" track-metadata-position="nav" track-name="console" > 	<a>	<a>
More ways to get started 	콘솔 	more	콘솔
</a> 	</a> 	</a>	</a>
</li> 	</li> 	</li>	</li>
</ul> 	</ul> 	</ul>	</ul>
</nav> 	</nav> 	</nav>	</nav>
</div> 	</div> 	</div>	</div>
</nav> 	</nav> 	</nav>	</nav>
<div class="devsite-main-content clearfix"> 	<div class="devsite-main-content clearfix"> 	<div>	<div>
<nav class="devsite-breadcrumb-nav devsite-nav"> 	<nav class="devsite-breadcrumb-nav devsite-nav"> 	<nav>	<nav>
<ul class="devsite-breadcrumb-list"> 	<ul class="devsite-breadcrumb-list"> 	<ul>	<ul>
<li class="devsite-breadcrumb-item"> 	<li class="devsite-breadcrumb-item"> 	<li>	<li>
<a href="https://cloud.google.com/" class="devsite-breadcrumb-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Breadcrumbs" data-value="1"> 	<a href="https://cloud.google.com/?hl=ko" class="devsite-breadcrumb-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Breadcrumbs" data-value="1"> 	<a>	<a>
Google Cloud 	Google Cloud 	google	google
</a> 	</a> 	</a>	</a>
</li> 	</li> 	</li>	</li>
<li class="devsite-breadcrumb-item"> 	<li class="devsite-breadcrumb-item"> 	<li>	<li>
<div class="devsite-breadcrumb-guillemet material-icons">	<div class="devsite-breadcrumb-guillemet material-icons">	<div>	<div>
</div> 	</div> 	</div>	</div>
<a href="https://cloud.google.com/" class="devsite-breadcrumb-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Breadcrumbs" data-value="2"> 	<a href="https://cloud.google.com/?hl=ko" class="devsite-breadcrumb-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Breadcrumbs" data-value="2"> 	<a>	<a>
Google Cloud 	홈 	google	홈
</a> 	</a> 	</a>	</a>
</li> 	</li> 	</li>	</li>
</ul> 	</ul> 	</ul>	</ul>
</nav> 	</nav> 	</nav>	</nav>
<div class="devsite-article-body clearfix devsite-no-page-title " itemprop="articleBody"> 	<div class="devsite-article-body clearfix devsite-no-page-title " itemprop="articleBody"> 	<div>	<div>
<div class="site-wrapper home" id="cloud-site"> 	<div class="site-wrapper home" id="cloud-site"> 	<div>	<div>
<div class="cloud-full-bleed--bg cloud-hero_wrapper cloud-home-v2"> 	<div class="cloud-full-bleed--bg cloud-hero_wrapper cloud-home-v2"> 	<div>	<div>
<header class="cloud-hero"> 	<header class="cloud-hero"> 	<header>	<header>
<section> 	<section> 	<section>	<section>
<div class="cloud-hero-banner"> 	<div class="cloud-hero-banner"> 	<div>	<div>
<h1 class="cloud-headline1">	<h1 class="cloud-headline1">	<h1>	<h1>
Make your next move here	이곳에서 펼치는 새로운 도약	make	이곳에서
</h1> 	</h1> 	</h1>	</h1>
<p class="cloud-body-text__title">	<p class="cloud-body-text__title">	<p>	<p>
Google Cloud is a set of solutions and products, including GCP and G Suite, that can help you solve your toughest business challenges.	Google Cloud는 가장 까다로운 비즈니스 과제를 해결할 수 있는 GCP 및 G Suite가 포함된 솔루션과 제품 모음입니다.	google	google
</p> 	</p> 	</p>	</p>
</div> 	</div> 	</div>	</div>
<div class="cloud-section-products cloud-grid cloud-grid__no-gap cloud-hero__card-container"> 	<div class="cloud-section-products cloud-grid cloud-grid__no-gap cloud-hero__card-container"> 	<div>	<div>
<div class="cloud-grid__col is-12 cloud-hero__1up-content cloud-hero__1up-content--horizontal-centered"> 	<div class="cloud-grid__col is-12 cloud-hero__1up-content cloud-hero__1up-content--horizontal-centered"> 	<div>	<div>
<div class="cloud-hero__card cloud-hero__card--gcp"> 	<div class="cloud-hero__card cloud-hero__card--gcp"> 	<div>	<div>
<h2 class="cloud-headline3"> 	<h2 class="cloud-headline3"> 	<h2>	<h2>
<a href="https://cloud.google.com/products/" track-type="navigateTo" track-name="products" track-metadata-eventDetail="hero" track-metadata-position="banner">	<a href="https://cloud.google.com/products/?hl=ko" track-type="navigateTo" track-name="products" track-metadata-eventDetail="hero" track-metadata-position="banner">	<a>	<a>
Google Cloud Platform	Google Cloud Platform	google	google
</a> 	</a> 	</a>	</a>
</h2> 	</h2> 	</h2>	</h2>
<p class="cloud-body-text__title"> 	<p class="cloud-body-text__title"> 	<p>	<p>
Grow your business with our secure storage, powerful compute, and integrated data analytics products. 	안전한 저장소, 강력한 컴퓨팅, 통합 데이터 분석 제품으로 비즈니스의 성장을 도모하세요. 	grow	안전한
</p> 	</p> 	</p>	</p>
<div class="cloud-hero__buttons cloud-button__set"> 	<div class="cloud-hero__buttons cloud-button__set"> 	<div>	<div>
<a href="https://console.cloud.google.com/freetrial" class="cloud-button cloud-button--primary" track-type="freeTrial" track-name="gcpCta" track-metadata-eventdetail="hero" track-metadata-position="hero"> 	<a href="https://console.cloud.google.com/freetrial?hl=ko" class="cloud-button cloud-button--primary" track-type="freeTrial" track-name="gcpCta" track-metadata-eventDetail="hero" track-metadata-position="hero"> 	<a>	<a>
GET STARTED 	무료로 GCP 사용해 보기	get	무료로
</a> 	</a> 	</a>	</a>
<a href="https://cloud.google.com/contact/" class="cloud-button cloud-button--flat cloud-button--dark" track-type='contact' track-name='sales' track-metadata-eventDetail='hero' track-metadata-position='hero' > 	<a href="https://cloud.google.com/contact/?hl=ko" class="cloud-button cloud-button--flat cloud-button--dark" track-type="contact" track-name="sales" track-metadata-eventDetail="hero" track-metadata-position="hero"> 	<a>	<a>
Contact Sales	영업팀에 문의하기	contact	영업팀에
</a> 	</a> 	</a>	</a>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
<div class="cloud-grid__col is-12 cloud-hero__1up-content cloud-hero__1up-content--horizontal-centered"> 	<div class="cloud-grid__col is-12 cloud-hero__1up-content cloud-hero__1up-content--horizontal-centered"> 	<div>	<div>
<div class="cloud-hero__card cloud-hero__card--gsuite"> 	<div class="cloud-hero__card cloud-hero__card--gsuite"> 	<div>	<div>
<h2 class="cloud-headline3"> 	<h2 class="cloud-headline3"> 	<h2>	<h2>
<a href="https://gsuite.google.com/" track-type="navigateTo" track-name="gSuite" track-metadata-eventDetail="hero" track-metadata-position="banner" target="_blank">	<a href="https://gsuite.google.com/?hl=ko" track-type="navigateTo" track-name="gSuite" track-metadata-eventDetail="hero" track-metadata-position="banner" target="_blank">	<a>	<a>
G Suite	G Suite	g	g
</a> 	</a> 	</a>	</a>
</h2> 	</h2> 	</h2>	</h2>
<p class="cloud-body-text__title"> 	<p class="cloud-body-text__title"> 	<p>	<p>
Work as a team with enterprise-ready apps like Gmail, Docs, and Drive, all powered by Google AI. 	Google AI를 기반으로 하는 Gmail, 문서, 드라이브와 같이 기업에 적합한 앱을 사용하여 팀원들과 함께 작업하세요. 	work	google
</p> 	</p> 	</p>	</p>
<div class="cloud-hero__gsuite-icons"> 	<div class="cloud-hero__gsuite-icons"> 	<div>	<div>
<img src="https://cloud.google.com/images/home/logos/g-suite-logos.svg" alt="G Suite icons"> 	<img src="https://cloud.google.com/images/home/logos/g-suite-logos.svg?hl=ko" alt="G Suite 아이콘"/> 	<img>	<img>
</div> 	</div> 	</div>	</div>
<div class="cloud-hero__buttons cloud-button__set"> 	<div class="cloud-hero__buttons cloud-button__set"> 	<div>	<div>
<a href="https://gsuite.google.com/features/" class="cloud-button cloud-button--flat cloud-button--dark" track-type='navigateTo' track-name='learnMore' track-metadata-eventDetail='hero' track-metadata-position='hero' > 	<a href="https://gsuite.google.com/features/?hl=ko" class="cloud-button cloud-button--flat cloud-button--dark" track-type="navigateTo" track-name="learnMore" track-metadata-eventDetail="hero" track-metadata-position="hero"> 	<a>	<a>
Learn More	자세히 알아보기	learn	자세히
</a> 	</a> 	</a>	</a>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</section> 	</section> 	</section>	</section>
</header> 	</header> 	</header>	</header>
</div> 	</div> 	</div>	</div>
<div class="cloud-home-sections cloud-home-v"> 	<div class="cloud-home-sections cloud-home-v"> 	<div>	<div>
<section class="cloud-section-events"> 	<section class="cloud-section-events"> 	<section>	<section>
<div class="cloud-events-carousel"> 	<div class="cloud-events-carousel"> 	<div>	<div>
<div class="cloud-carousel "> 	<div class="cloud-carousel "> 	<div>	<div>
<div class="cloud-carousel__slide-deck-container"> 	<div class="cloud-carousel__slide-deck-container"> 	<div>	<div>
<div class="cloud-carousel__slide-deck" role="group"> 	<div class="cloud-carousel__slide-deck" role="group"> 	<div>	<div>
<div class="cloud-carousel__slide cloud-carousel__slide--image-align-left-top"> 	<div class="cloud-carousel__slide cloud-carousel__slide--image-align-left-top"> 	<div>	<div>
<div class="cloud-carousel__slide-image "> 	<div class="cloud-carousel__slide-image "> 	<div>	<div>
<img src="https://cloud.google.com/images/home/google-next-19-circle.png" srcset="https://cloud.google.com/images/home/google-next-19-circle.png 1x,https://cloud.google.com/images/home/google-next-19-circle_2x.png 2x" alt="Digital Conference logo" /> 	<img src="https://cloud.google.com/images/home/google-next-19-circle.png?hl=ko" srcset="https://cloud.google.com/images/home/google-next-19-circle.png?hl=ko 1x,https://cloud.google.com/images/home/google-next-19-circle_2x.png?hl=ko 2x" alt="디지털 컨퍼런스 로고"/> 	<img>	<img>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__slide-body"> 	<div class="cloud-carousel__slide-body"> 	<div>	<div>
<p class="cloud-carousel__slide-metadata cloud-eyebrow"> 	<p class="cloud-carousel__slide-metadata cloud-eyebrow"> 	<p>	<p>
<span class="cloud-carousel__slide-type">	<span class="cloud-carousel__slide-type">	<span>	<span>
Event | Google Cloud Next '19	이벤트 | Google Cloud Next '19	event	이벤트
</span>	</span>	</span>	</span>
<span>	<span>	<span>	<span>
:	:	:	:
</span> 	</span> 	</span>	</span>
<span class="cloud-carousel__slide-date">	<span class="cloud-carousel__slide-date">	<span>	<span>
None	2019년 4월 9~11일	None	2019년
April 9–11, 2019	None	april	None
</span> 	</span> 	</span>	</span>
<span>	<span>	<span>	<span>
/	/	/	/
</span> 	</span> 	</span>	</span>
<span class="cloud-carousel__slide-location">	<span class="cloud-carousel__slide-location">	<span>	<span>
San Francisco	샌프란시스코	san	샌프란시스코
</span> 	</span> 	</span>	</span>
</p> 	</p> 	</p>	</p>
<p class="cloud-carousel__slide-description cloud-subhead"> 	<p class="cloud-carousel__slide-description cloud-subhead"> 	<p>	<p>
<span>	<span>	<span>	<span>
Join some of the brightest minds in tech for three days of networking, learning, and problem solving. 	기술 분야의 가장 뛰어난 지성들이 모여 3일간 진행하는 네트워킹, 학습, 문제해결의 자리에 참여하세요. 조기 등록 할인을 받으려면 지금 등록하세요. 3월 1일까지 $999에 등록할 수 있습니다. 	join	기술
<a class="cloud-carousel__slide-cta cloud-link" href="https://cloud.withgoogle.com/next/sf?utm_source=google&utm_medium=website&utm_campaign=FY19-Q2-americas-eventnextsf-website-er-GCG&utm_content=GCG_carousel" target="_blank" rel="noopener" track-type="carousel" track-name="link" track-metadata-position="body" track-metadata-eventDetail="registerNow" > 	<a class="cloud-carousel__slide-cta cloud-link" href="https://cloud.withgoogle.com/next/sf?utm_source=google&utm_medium=website&utm_campaign=FY19-Q2-americas-eventnextsf-website-er-GCG&utm_content=GCG_carousel" target="_blank" rel="noopener" track-type="carousel" track-name="link" track-metadata-position="body" track-metadata-eventDetail="registerNow"> 	<a>	<a>
Register now. 	지금 등록하기 	register	지금
</a> 	</a> 	</a>	</a>
</span> 	</span> 	</span>	</span>
</p> 	</p> 	</p>	</p>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__slide cloud-carousel__slide--image-align-left-top"> 	<div class="cloud-carousel__slide cloud-carousel__slide--image-align-left-top"> 	<div>	<div>
<div class="cloud-carousel__slide-image "> 	<div class="cloud-carousel__slide-image "> 	<div>	<div>
<img src="https://cloud.google.com/images/home/CirEcon_Logo.png" srcset="https://cloud.google.com/images/home/CirEcon_Logo.png 1x,https://cloud.google.com/images/home/CirEcon_Logo_2x.png 2x" alt="Circular Economy 2030" /> 	<img src="https://cloud.google.com/images/home/CirEcon_Logo.png?hl=ko" srcset="https://cloud.google.com/images/home/CirEcon_Logo.png?hl=ko 1x,https://cloud.google.com/images/home/CirEcon_Logo_2x.png?hl=ko 2x" alt="Circular Economy 2030"/> 	<img>	<img>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__slide-body"> 	<div class="cloud-carousel__slide-body"> 	<div>	<div>
<p class="cloud-carousel__slide-metadata cloud-eyebrow"> 	<p class="cloud-carousel__slide-metadata cloud-eyebrow"> 	<p>	<p>
<span class="cloud-carousel__slide-date">	<span class="cloud-carousel__slide-date">	<span>	<span>
None	Circular Economy 2030 | 3월 17일까지 신청 접수	None	circular
Circular Economy 2030 | Applications accepted until March 17	None	circular	None
</span> 	</span> 	</span>	</span>
</p> 	</p> 	</p>	</p>
<p class="cloud-carousel__slide-description cloud-subhead"> 	<p class="cloud-carousel__slide-description cloud-subhead"> 	<p>	<p>
<span>	<span>	<span>	<span>
Help build a sustainable future with Google Cloud and SAP. Apply to Circular Economy 2030, a sustainability contest for social entrepreneurs. 	None	help	None
<a class="cloud-carousel__slide-cta cloud-link" href="https://cloud.google.com/circular-economy-2030/" track-type="carousel" track-name="link" track-metadata-position="body" track-metadata-eventDetail="learnMore" > 	None	<a>	None
Learn more. 	Google Cloud와 SAP로 지속 가능한 미래를 만드는 일에 기여해 보세요. 사회적 기업가를 대상으로 하는 지속 가능성 컨테스트인 Circular Economy 2030에 참가 신청하세요. 	learn	google
None	<a class="cloud-carousel__slide-cta cloud-link" href="https://cloud.google.com/circular-economy-2030/?hl=ko" track-type="carousel" track-name="link" track-metadata-position="body" track-metadata-eventDetail="learnMore"> 	None	<a>
None	자세히 알아보기 	None	자세히
</a> 	</a> 	</a>	</a>
</span> 	</span> 	</span>	</span>
</p> 	</p> 	</p>	</p>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__slide cloud-carousel__slide--image-align-left-top"> 	<div class="cloud-carousel__slide cloud-carousel__slide--image-align-left-top"> 	<div>	<div>
<div class="cloud-carousel__slide-image "> 	<div class="cloud-carousel__slide-image "> 	<div>	<div>
<img src="https://cloud.google.com/images/home/wave-leader-web-badge.png" srcset="https://cloud.google.com/images/home/wave-leader-web-badge.png 1x,https://cloud.google.com/images/home/wave-leader-web-badge_2x.png 2x" alt="Wave leader web badge" /> 	<img src="https://cloud.google.com/images/home/wave-leader-web-badge.png?hl=ko" srcset="https://cloud.google.com/images/home/wave-leader-web-badge.png?hl=ko 1x,https://cloud.google.com/images/home/wave-leader-web-badge_2x.png?hl=ko 2x" alt="Wave leader 웹 배지"/> 	<img>	<img>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__slide-body"> 	<div class="cloud-carousel__slide-body"> 	<div>	<div>
<p class="cloud-carousel__slide-metadata cloud-eyebrow"> 	<p class="cloud-carousel__slide-metadata cloud-eyebrow"> 	<p>	<p>
<span class="cloud-carousel__slide-date">	<span class="cloud-carousel__slide-date">	<span>	<span>
Analyst Report	분석 보고서	analyst	분석
</span> 	</span> 	</span>	</span>
</p> 	</p> 	</p>	</p>
<p class="cloud-carousel__slide-description cloud-subhead"> 	<p class="cloud-carousel__slide-description cloud-subhead"> 	<p>	<p>
<span>	<span>	<span>	<span>
Google (Apigee) named a leader in The Forrester Wave&trade; : API Management Solutions, Q4 2018. 	None	google	None
<a class="cloud-carousel__slide-cta cloud-link" href="https://cloud.google.com/blog/topics/inside-google-cloud/google-named-a-leader-in-the-latest-forrester-research-api-management-solutions-wave" track-type="carousel" track-name="link" track-metadata-position="body" track-metadata-eventDetail="learnMore" > 	None	<a>	None
Learn more. 	The Forrester Wave™의 2018년 4분기 API 관리 솔루션 보고서에서 Google(Apigee)이 선두업체로 선정되었습니다. 	learn	the
None	<a class="cloud-carousel__slide-cta cloud-link" href="https://cloud.google.com/blog/topics/inside-google-cloud/google-named-a-leader-in-the-latest-forrester-research-api-management-solutions-wave?hl=ko" track-type="carousel" track-name="link" track-metadata-position="body" track-metadata-eventDetail="learnMore"> 	None	<a>
None	자세히 알아보기 	None	자세히
</a> 	</a> 	</a>	</a>
</span> 	</span> 	</span>	</span>
</p> 	</p> 	</p>	</p>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__controls"> 	<div class="cloud-carousel__controls"> 	<div>	<div>
<div class="cloud-carousel__arrow left-arrow"> 	<div class="cloud-carousel__arrow left-arrow"> 	<div>	<div>
<img src="https://www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_left_black_36dp.png" alt="" /> 	<img src="https://www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_left_black_36dp.png" alt/> 	<img>	<img>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__arrow right-arrow"> 	<div class="cloud-carousel__arrow right-arrow"> 	<div>	<div>
<img src="https://www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_right_black_36dp.png" alt="" /> 	<img src="https://www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_right_black_36dp.png" alt/> 	<img>	<img>
</div> 	</div> 	</div>	</div>
<div class="cloud-carousel__nuggets"> 	<div class="cloud-carousel__nuggets"> 	<div>	<div>
<div class="cloud-carousel__nugget">	<div class="cloud-carousel__nugget">	<div>	<div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</div> 	</div> 	</div>	</div>
</section> 	</section> 	</section>	</section>
<section class="cloud-full-bleed--bg cloud-section-customers__container"> 	<section class="cloud-full-bleed--bg cloud-section-customers__container"> 	<section>	<section>
<div class="cloud-section-customers cloud-section--reversed cloud-section--centered"> 	<div class="cloud-section-customers cloud-section--reversed cloud-section--centered"> 	<div>	<div>
<header class="cloud-section-header"> 	<header class="cloud-section-header"> 	<header>	<header>
<h1 class="cloud-section-header__eyebrow cloud-eyebrow"> 	<h1 class="cloud-section-header__eyebrow cloud-eyebrow"> 	<h1>	<h1>
Customers 	고객 	customers	고객
</h1> 	</h1> 	</h1>	</h1>
<ul class="cloud-section-customers__logos"> 	<ul class="cloud-section-customers__logos"> 	<ul>	<ul>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-blue-apron.svg" alt="Blue Apron logo" /> 	<img src="https://cloud.google.com/images/home/logo-blue-apron.svg?hl=ko" alt="Blue Apron 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-schwab.svg" alt="Charles Schwab logo" /> 	<img src="https://cloud.google.com/images/home/logo-schwab.svg?hl=ko" alt="Charles Schwab 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li class="cloud-section-customers__logos__logo--no-padding"> 	<li class="cloud-section-customers__logos__logo--no-padding"> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-sony.svg" alt="Sony Music logo" /> 	<img src="https://cloud.google.com/images/home/logo-sony.svg?hl=ko" alt="Sony Music 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-spotify.svg" alt="Spotify logo" /> 	<img src="https://cloud.google.com/images/home/logo-spotify.svg?hl=ko" alt="Spotify 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-northrop.svg" alt="Northrop Grumman logo" /> 	<img src="https://cloud.google.com/images/home/logo-northrop.svg?hl=ko" alt="Northrop Grumman 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-johnson-and-johnson.svg" alt="Johnson and Johnson logo" /> 	<img src="https://cloud.google.com/images/home/logo-johnson-and-johnson.svg?hl=ko" alt="Johnson and Johnson 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-hearst.svg" alt="Hearst logo" /> 	<img src="https://cloud.google.com/images/home/logo-hearst.svg?hl=ko" alt="Hearst 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
<li> 	<li> 	<li>	<li>
<img src="https://cloud.google.com/images/home/logo-lush.svg" alt="Lush logo" /> 	<img src="https://cloud.google.com/images/home/logo-lush.svg?hl=ko" alt="Lush 로고"/> 	<img>	<img>
</li> 	</li> 	</li>	</li>
</ul> 	</ul> 	</ul>	</ul>
<h2 class="cloud-section-header__heading cloud-headline3"> 	<h2 class="cloud-section-header__heading cloud-headline3"> 	<h2>	<h2>
Trusted by enterprises, startups, and everyone in between 	기업에서 스타트업에 이르기까지 모두가 보여준 신뢰 	trusted	기업에서
</h2> 	</h2> 	</h2>	</h2>
<div class="cloud-section-header__link"> 	<div class="cloud-section-header__link"> 	<div>	<div>
<a href="https://cloud.google.com/customers/" class="cloud-button cloud-button--secondary cloud-button--reversed" track-type='navigateTo' track-name='seeCustomers' track-metadata-eventDetail='body' track-metadata-position='body' > 	<a href="https://cloud.google.com/customers/?hl=ko" class="cloud-button cloud-button--secondary cloud-button--reversed" track-type="navigateTo" track-name="seeCustomers" track-metadata-eventDetail="body" track-metadata-position="body"> 	<a>	<a>
See our customers	고객 보기	see	고객
</a> 	</a> 	</a>	</a>
</div> 	</div> 	</div>	</div>
</header> 	</header> 	</header>	</header>
</div> 	</div> 	</div>	</div>
</section> 	</section> 	</section>	</section>
<section> 	<section> 	<section>	<section>
<header class="cloud-section-header"> 	<header class="cloud-section-header"> 	<header>	<header>
<h1 class="cloud-section-header__eyebrow cloud-eyebrow"> 	<h1 class="cloud-section-header__eyebrow cloud-eyebrow"> 	<h1>	<h1>
Powerful Products 	강력한 제품 	powerful	강력한
</h1> 	</h1> 	</h1>	</h1>
<h2 class="cloud-section-header__heading cloud-heading-home cloud-display2 cloud-home-v"> 	<h2 class="cloud-section-header__heading cloud-heading-home cloud-display2 cloud-home-v"> 	<h2>	<h2>
One Cloud, endless possibilities 	하나의 Cloud, 무한한 가능성 	one	하나의
</h2> 	</h2> 	</h2>	</h2>
<div class="cloud-section-header__link"> 	<div class="cloud-section-header__link"> 	<div>	<div>
<a href="https://cloud.google.com/products/" class="cloud-button cloud-button--primary" track-type='navigateTo' track-name='exploreProducts' track-metadata-eventDetail='body' track-metadata-position='body' > 	<a href="https://cloud.google.com/products/?hl=ko" class="cloud-button cloud-button--primary" track-type="navigateTo" track-name="exploreProducts" track-metadata-eventDetail="body" track-metadata-position="body"> 	<a>	<a>
Explore all products	모든 제품 살펴보기	explore	모든
</a> 	</a> 	</a>	</a>
</div> 	</div> 	</div>	</div>
</header> 	</header> 	</header>	</header>
<div class="cloud-section-products cloud-grid cloud-grid__no-gap"> 	<div class="cloud-section-products cloud-grid cloud-grid__no-gap"> 	<div>	<div>
<div class="cloud-grid__col is-6"> 	<div class="cloud-grid__col is-6"> 	<div>	<div>
<section class="cloud-card cloud-card--product " style=" "> 	<section class="cloud-card cloud-card--product " style=" "> 	<section>	<section>
<img alt="Compute" class="cloud-card__icon" src="https://cloud.google.com/_static/16eb031c2e/images/cloud/products/icons/compute.svg" /> 	<img alt="컴퓨팅" class="cloud-card__icon" src="https://cloud.google.com/_static/16eb031c2e/images/cloud/products/icons/compute.svg?hl=ko"/> 	<img>	<img>
<h1 class="cloud-card__heading cloud-headline3"> 	<h1 class="cloud-card__heading cloud-headline3"> 	<h1>	<h1>
<strong>	<strong>	<strong>	<strong>
Compute	컴퓨팅	compute	컴퓨팅
</strong> 	</strong> 	</strong>	</strong>
Build smarter, 	더 스마트하고 	build	더
<br>	<br />	<br>	<br>
build faster 	더 빠르게 빌드하세요 	build	더
</h1> 	</h1> 	</h1>	</h1>
<div class="cloud-card__footer"> 	<div class="cloud-card__footer"> 	<div>	<div>
<a href="https://cloud.google.com/products/compute/" class="cloud-button cloud-button--secondary cloud-card__link" track-type='navigateTo' track-name='products' track-metadata-eventDetail='compute' track-metadata-position='body' > 	<a href="https://cloud.google.com/products/compute/?hl=ko" class="cloud-button cloud-button--secondary cloud-card__link" track-type="navigateTo" track-name="products" track-metadata-eventDetail="compute" track-metadata-position="body"> 	<a>	<a>
Get details	세부정보 보기	get	세부정보
</a> 	</a> 	</a>	</a>
</div> 	</div> 	</div>	</div>
</section> 	</section> 	</section>	</section>
<section class="cloud-card cloud-card--product " style=" "> 	<section class="cloud-card cloud-card--product " style=" "> 	<section>	<section>
